ID	TOKENS	CONCEPT	ALIGNMENT	IPA	COUNTERPART	COGID	DOCULECT	NOTE	STRUCTURE	BORROWING
1717	s k a n k j a n a n	*skankjanan	s k a n k j a n ( a n )	skankjanan	*skankjanan	471	Proto-Germanic			
1718	ʃ ɛ ŋ k ə n	*skankjanan	ʃ - ɛ ŋ k - ə n ( - - )	ʃɛŋkən	schenken	471	German			
1719	s x ɛ ŋ k ə	*skankjanan	s x ɛ ŋ k - ə - ( - - )	sxɛŋkə	schenken	471	Dutch			
1720	t ai xʷ oː	*taixwō	t ai ( xʷ oː - )	taixwoː	*taixwō	472	Proto-Germanic			
1721	ts eː ə	*taixwō	ts eː ( - ə - )	t͡seːə	Zehe	472	German			
1722	t əʊ	*taixwō	t əʊ ( - - - )	təʊ	toe	472	English			
1723	t eː n	*taixwō	t eː ( - - n )	teːn	teen	472	Dutch			
1724	l e n d oː	*lendō	l e n d ( oː - )	lendoː	*lendō	473	Proto-Germanic		C V C C	
1725	l ɪ n d ə	*lendō	l ɪ n d ( ə - )	lɪndə	Linde	473	German			
1726	l ɪ n d ə n	*lendō	l ɪ n d ( ə n )	lɪndən	linden	473	English			
1727	l ɪ n d ə	*lendō	l ɪ n d ( ə - )	lɪndə	linde	473	Dutch			
1728	r a m a z	*rammaz	r a m ( a z )	rammaz	*rammaz	474	Proto-Germanic			
1729	r aː m ə n	*rammaz	r aː m ( ə n )	raːmən	Rahmen	474	German			
1730	r aː m	*rammaz	r aː m ( - - )	raːm	raam	474	Dutch			
1731	n a s oː	*nasō	n a s oː	nasoː	*nasō	475	Proto-Germanic			
1732	n aː z ə	*nasō	n aː z ə	naːzə	Nase	475	German			
1733	n əʊ z	*nasō	n əʊ z -	nəʊz	nose	475	English			
1734	n øː s	*nasō	n øː s -	nøːs	neus	475	Dutch			
1735	r ai x oː n	*raixōn	r ai ( x oː n )	raixoːn	*raixōn	476	Proto-Germanic			
1736	r eː	*raixōn	r eː ( - - - )	reː	Reh	476	German			
1737	r əʊ	*raixōn	r əʊ ( - - - )	rəʊ	roe	476	English			
1738	r eː	*raixōn	r eː ( - - - )	reː	ree	476	Dutch			
1739	t uː n a n	*tūnan	t uː n ( a n )	tuːnan	*tūnan	477	Proto-Germanic			
1740	ts au n	*tūnan	ts au n ( - - )	t͡saun	Zaun	477	German			
1741	t aʊ n	*tūnan	t aʊ n ( - - )	taʊn	town	477	English			
1742	t œy n	*tūnan	t œy n ( - - )	tœyn	tuin	477	Dutch			
1743	l ai d j a n a n	*laidjanan	l ai d j a n ( a n )	laidjanan	*laidjanan	478	Proto-Germanic		C V c c v c	
1744	l ai t ə n	*laidjanan	l ai t - ə n ( - - )	laitən	leiten	478	German			
1745	l iː d	*laidjanan	l iː d - - - ( - - )	liːd	lead	478	English			
1746	l ɛɪ d ə	*laidjanan	l ɛɪ d - ə - ( - - )	lɛɪdə	leiden	478	Dutch			
1747	s i b a z	*sibaz	s i b ( a z )	sibaz	*sibaz	479	Proto-Germanic			
1748	z iː p	*sibaz	z iː b ( - - )	ziːp	Sieb	479	German			
1749	s ɪ v	*sibaz	s ɪ v ( - - )	sɪv	sieve	479	English			
1750	z eː f	*sibaz	z eː f ( - - )	zeːf	zeef	479	Dutch			
1751	b r e s t a n a n	*brestanan	b - r e s t a n ( a n )	brestanan	*brestanan	480	Proto-Germanic		C - C V C c v c	
1752	b ɛ r s t ə n	*brestanan	b ɛ r - s t ə n ( - - )	bɛrstən	bersten	480	German			
1753	b ɜː s t	*brestanan	b ɜː - - s t - - ( - - )	bɜːst	burst	480	English			
1754	b ɑ r s t ə	*brestanan	b ɑ r - s t ə - ( - - )	bɑrstə	barsten	480	Dutch			
1755	s u nː oː n	*sunnōn	s u nː ( oː n )	sunnoːn	*sunnōn	481	Proto-Germanic			
1756	z ɔ n ə	*sunnōn	z ɔ n ( ə - )	zɔnə	Sonne	481	German			
1757	s ʌ n	*sunnōn	s ʌ n ( - - )	sʌn	sun	481	English			
1758	z ɔ n	*sunnōn	z ɔ n ( - - )	zɔn	zon	481	Dutch			
1759	f e n θ a n a n	*fenθanan	f e n θ a n ( a n )	fenθanan	*fenθanan	482	Proto-Germanic		C V C c v c	
1760	f ɪ n d ə n	*fenθanan	f ɪ n d ə n ( - - )	fɪndən	finden	482	German			
1761	f aɪ n d	*fenθanan	f aɪ n d - - ( - - )	faɪnd	find	482	English			
1762	v ɪ n d ə	*fenθanan	v ɪ n d ə - ( - - )	vɪndə	vinden	482	Dutch			
1763	x n eu s a n a n	*xneusanan	x n eu s a n a n	xneusanan	*xneusanan	483	Proto-Germanic			
1764	n iː z ə n	*xneusanan	- n iː z ə - - n	niːzən	niesen	483	German			
1765	n iː z ə	*xneusanan	- n iː z ə - - -	niːzə	niezen	483	Dutch			
1766	w a r p a n	*warpan	w a r p ( a n )	warpan	*warpan	484	Proto-Germanic			
1767	v ɛ r f t	*warpan	v ɛ r f ( t - )	vɛrft	Werft	484	German			
1768	ʋ ɔː p	*warpan	ʋ ɔː - p ( - - )	ʋɔːp	warp	484	English			
1769	ʋ ɛ r f	*warpan	ʋ ɛ r f ( - - )	ʋɛrf	werf	484	Dutch			
1770	b r u s t z	*brustz	b - r u s t ( z )	brustz	*brustz	485	Proto-Germanic		C - C V C C	
1771	b r ʊ s t	*brustz	b - r ʊ s t ( - )	brʊst	Brust	485	German			
1772	b r ɛ s t	*brustz	b - r ɛ s t ( - )	brɛst	breast	485	English			
1773	b ɔ r s t	*brustz	b ɔ r - s t ( - )	bɔrst	borst	485	Dutch			
1774	m i x s t i l a z	*mixstilaz	m i x s t i l ( a z )	mixstilaz	*mixstilaz	486	Proto-Germanic		C V C C c v c	
1775	m ɪ s t ə l	*mixstilaz	m ɪ - s t ə l ( - - )	mɪstəl	Mistel	486	German			
1776	m ɪ s t ə l	*mixstilaz	m ɪ - s t ə l ( - - )	mɪstəl	mistel	486	Dutch			
1777	s n oː r oː	*snōrō	s n oː r ( oː )	snoːroː	*snōrō	487	Proto-Germanic			
1778	ʃ n uː r	*snōrō	ʃ n uː r ( - )	ʃnuːr	Schnur	487	German			
1779	s n uː r	*snōrō	s n uː r ( - )	snuːr	snoer	487	Dutch			
1780	x a lː oː	*xallō	x a lː oː	xalloː	*xallō	488	Proto-Germanic			
1781	h a l ə	*xallō	h a l ə	halə	Halle	488	German			
1782	h ɔː l	*xallō	h ɔː l -	hɔːl	hall	488	English			
1783	h ɑ l	*xallō	h ɑ l -	hɑl	hal	488	Dutch			
1784	xʷ iː l oː	*xwīlō	xʷ iː l ( oː )	xwiːloː	*xwīlō	489	Proto-Germanic			
1785	v ai l ə	*xwīlō	v ai l ( ə )	vailə	Weile	489	German			
1786	ʋ aɪ l	*xwīlō	ʋ aɪ l ( - )	ʋaɪl	while	489	English			
1787	ʋ ɛɪ l	*xwīlō	ʋ ɛɪ l ( - )	ʋɛɪl	wijl	489	Dutch			
1788	l iː θ a n a n	*līθanan	l iː θ a n ( a n )	liːθanan	*līθanan	490	Proto-Germanic		C V c v c	
1789	l ai d ə n	*līθanan	l ai d ə n ( - - )	laidən	leiden	490	German			
1790	l ɛɪ d ə	*līθanan	l ɛɪ d ə - ( - - )	lɛɪdə	lijden	490	Dutch			
1791	r au b oː	*raubō	r au b ( oː )	rauboː	*raubō	491	Proto-Germanic			
1792	r au p	*raubō	r au b ( - )	raup	Raub	491	German			
1793	r oː f	*raubō	r oː f ( - )	roːf	roof	491	Dutch			
1794	x a b u k a z	*xabukaz	x a b u k ( a z )	xabukaz	*xabukaz	492	Proto-Germanic			
1795	h aː b ɪ x t	*xabukaz	h aː b ɪ x ( - t )	haːbɪxt	Habicht	492	German			
1796	h ɔː k	*xabukaz	h ɔː - - k ( - - )	hɔːk	hawk	492	English			
1797	h aː v ɪ k	*xabukaz	h aː v ɪ k ( - - )	haːvɪk	havik	492	Dutch			
1798	f e lː a n	*fellan	f e lː ( a n )	fellan	*fellan	493	Proto-Germanic		C V C	
1799	f ɛ l	*fellan	f ɛ l ( - - )	fɛl	Fell	493	German			
1800	f ɛ l	*fellan	f ɛ l ( - - )	fɛl	fell	493	English			
1801	v ɛ l	*fellan	v ɛ l ( - - )	vɛl	vel	493	Dutch			
1802	θ e g n a z	*θegnaz	θ e g - n ( a z )	θegnaz	*θegnaz	494	Proto-Germanic			
1803	d eː ɡ ə n	*θegnaz	d eː ɡ ə n ( - - )	deːɡən	Degen	494	German			
1804	θ eɪ n	*θegnaz	θ eɪ - - n ( - - )	θeɪn	thane	494	English			
1805	r eː d a n	*rēdan	r eː d ( a n )	reːdan	*rēdan	495	Proto-Germanic			
1806	r aː t	*rēdan	r aː t ( - - )	raːt	Rat	495	German			
1807	r aː t	*rēdan	r aː t ( - - )	raːt	raad	495	Dutch			
1808	f l a x s a n	*flaxsan	f l a x s ( a n )	flaxsan	*flaxsan	496	Proto-Germanic		C C V C C	
1809	f l a k s	*flaxsan	f l a k s ( - - )	flaks	Flachs	496	German			
1810	f l æ k s	*flaxsan	f l æ k s ( - - )	flæks	flax	496	English			
1811	v l ɑ s	*flaxsan	v l ɑ - s ( - - )	vlɑs	vlas	496	Dutch			
1812	s m e r w j a n a n	*smerwjanan	s m e r w j a n ( a n )	smerwjanan	*smerwjanan	497	Proto-Germanic			
1813	ʃ m iː r ə n	*smerwjanan	ʃ m iː r - - ə n ( - - )	ʃmiːrən	schmieren	497	German			
1814	s m ɪə r	*smerwjanan	s m ɪə r - - - - ( - - )	smɪər	smear	497	English			
1815	s m eː r ə	*smerwjanan	s m eː r - - ə - ( - - )	smeːrə	smeren	497	Dutch			
1816	s a t j a n a n	*satjanan	s a t j a n ( a n )	satjanan	*satjanan	498	Proto-Germanic			
1817	z ɛ ts ə n	*satjanan	z ɛ ts - ə n ( - - )	zɛt͡sən	setzen	498	German			
1818	s ɛ t	*satjanan	s ɛ t - - - ( - - )	sɛt	set	498	English			
1819	z ɛ t ə	*satjanan	z ɛ t - ə - ( - - )	zɛtə	zetten	498	Dutch			
1820	l au n a n	*launan	l au n ( a n )	launan	*launan	499	Proto-Germanic		C V C	
1821	l oː n	*launan	l oː n ( - - )	loːn	Lohn	499	German			
1822	l oː n	*launan	l oː n ( - - )	loːn	loon	499	Dutch			
1823	l uː s z	*lūsz	l uː s ( z )	luːsz	*lūsz	500	Proto-Germanic		C V C	
1824	l au s	*lūsz	l au s ( - )	laus	Laus	500	German			
1825	l aʊ s	*lūsz	l aʊ s ( - )	laʊs	louse	500	English			
1826	l œy s	*lūsz	l œy s ( - )	lœys	luis	500	Dutch			
1827	f u n xʷ s t i z	*funxwstiz	f u ( n xʷ ) s t ( i z )	funxwstiz	*funxwstiz	501	Proto-Germanic		C V C C	
1828	f au s t	*funxwstiz	f au ( - - ) s t ( - - )	faust	Faust	501	German			
1829	f ɪ s t	*funxwstiz	f ɪ ( - - ) s t ( - - )	fɪst	fist	501	English			
1830	v œy s t	*funxwstiz	v œy ( - - ) s t ( - - )	vœyst	vuist	501	Dutch			
1831	f u g l a z	*fuglaz	f u g - l ( a z )	fuglaz	*fuglaz	502	Proto-Germanic		C V C - C	
1832	f oː ɡ ə l	*fuglaz	f oː ɡ ə l ( - - )	foːɡəl	Vogel	502	German			
1833	f aʊ l	*fuglaz	f aʊ - - l ( - - )	faʊl	fowl	502	English			
1834	v oː ɣ ə l	*fuglaz	v oː ɣ ə l ( - - )	voːɣəl	vogel	502	Dutch			
1835	k n e d a n a n	*knedanan	k n e d a n ( a n )	knedanan	*knedanan	503	Proto-Germanic		C C V c v c 	
1836	k n eː t ə n	*knedanan	k n eː t ə n ( - - )	kneːtən	kneten	503	German			
1837	n iː d	*knedanan	- n iː d - - ( - - )	niːd	knead	503	English			
1838	k n eː d ə	*knedanan	k n eː d ə - ( - - )	kneːdə	kneden	503	Dutch			
1839	f a n x a n a n	*fanxanan	f a n x a n ( a n )	fanxanan	*fanxanan	504	Proto-Germanic		C V C c v c	
1840	f a ŋ ə n	*fanxanan	f a ŋ - ə n ( - - )	faŋən	fangen	504	German			
1841	v ɑ ŋ ə	*fanxanan	v ɑ ŋ - ə - ( - - )	vɑŋə	vangen	504	Dutch			
1842	l e s a n a n	*lesanan	l e s a n ( a n )	lesanan	*lesanan	505	Proto-Germanic		C V c v c	
1843	l eː z ə n	*lesanan	l eː z ə n ( - - )	leːzən	lesen	505	German			
1844	l eː z ə	*lesanan	l eː z ə - ( - - )	leːzə	lezen	505	Dutch			
1845	j eː m r a z	*jēmraz	j eː m - r ( a z )	jeːmraz	*jēmraz	506	Proto-Germanic		C V C - C	
1846	j a m ə r	*jēmraz	j a m ə r ( - - )	jamər	Jammer	506	German			
1847	j ɑ m ə r	*jēmraz	j ɑ m ə r ( - - )	jɑmər	jammer	506	Dutch			
1848	w u r d j a n	*wurdjan	( - - - ) w u r d ( j a n )	wurdjan	*wurdjan	507	Proto-Germanic	DUP		
1849	a n t v ɔ r t	*wurdjan	( a n t ) v ɔ r t ( - - - )	antvɔrt	Antwort	507	German	DUP		
1850	ɑ n t ʋ oː r t	*wurdjan	( ɑ n t ) ʋ oː r t ( - - - )	ɑntʋoːrt	antwoord	507	Dutch	DUP		
1851	b e b r u z	*bebruz	b e b - r ( u z )	bebruz	*bebruz	508	Proto-Germanic		C V C - C	
1852	b iː b ə r	*bebruz	b iː b ə r ( - - )	biːbər	Biber	508	German			
1853	b iː v ə r	*bebruz	b iː v ə r ( - - )	biːvər	beaver	508	English			
1854	b eː v ə r	*bebruz	b eː v ə r ( - - )	beːvər	bever	508	Dutch			
1855	g u d a z	*gudaz	( - - ) g u d ( a z )	gudaz	*gudaz	509	Proto-Germanic		C V C	
1856	a p ɡ ɔ t	*gudaz	( a p ) ɡ ɔ t ( - - )	apɡɔt	Abgott	509	German	DUP		
1857	ɑ f x ɔ t	*gudaz	( ɑ f ) x ɔ t ( - - )	ɑfxɔt	afgod	509	Dutch			
1858	s k a f t a n	*skaftan	s k a f t ( a n )	skaftan	*skaftan	510	Proto-Germanic			
1859	ʃ a f t	*skaftan	ʃ - a f t ( - - )	ʃaft	Schaft	510	German			
1860	ʃ ɑː f t	*skaftan	ʃ - ɑː f t ( - - )	ʃɑːft	shaft	510	English			
1861	s x ɑ x t	*skaftan	s x ɑ x t ( - - )	sxɑxt	schacht	510	Dutch			
1862	b oː k oː	*bōkō	b oː k ( oː - - - )	boːkoː	*bōkō	511	Proto-Germanic		C V C	
1863	b uː x ə	*bōkō	b uː x ( ə - - - )	buːxə	Buche	511	German			
1864	b iː ʧ	*bōkō	b iː ʧ ( - - - - )	biːʧ	beech	511	English			
1865	b øː k ə b oː m	*bōkō	b øː k ( ə b oː m )	bøːkəboːm	beukeboom	511	Dutch			
1866	x n a pː a z	*xnappaz	x n a pː ( a z )	xnappaz	*xnappaz	512	Proto-Germanic			
1867	n a pf	*xnappaz	- n a pf ( - - )	nap͡f	Napf	512	German			
1868	n ɑ p	*xnappaz	- n ɑ p ( - - )	nɑp	nap	512	Dutch			
1869	s u m e r a z	*sumeraz	s u m e r ( a z )	sumeraz	*sumeraz	513	Proto-Germanic			
1870	z ɔ m ə r	*sumeraz	z ɔ m ə r ( - - )	zɔmər	Sommer	513	German			
1871	s ʌ m ə r	*sumeraz	s ʌ m ə r ( - - )	sʌmər	summer	513	English			
1872	z oː m ə r	*sumeraz	z oː m ə r ( - - )	zoːmər	zomer	513	Dutch			
1873	g u d	*gud	g u d	gud	*gud	514	Proto-Germanic		C V C	
1874	ɡ ɔ t	*gud	ɡ ɔ t	ɡɔt	Gott	514	German			
1875	ɡ ɔ d	*gud	ɡ ɔ d	ɡɔd	god	514	English			
1876	x ɔ t	*gud	x ɔ t	xɔt	god	514	Dutch			
1877	s k u lː oː n	*skullōn	s k u lː oː ( n )	skulloːn	*skullōn	515	Proto-Germanic			
1878	ʃ ɔ l ə	*skullōn	ʃ - ɔ l ə ( - )	ʃɔlə	Scholle	515	German			
1879	s x ɔ l	*skullōn	s x ɔ l - ( - )	sxɔl	schol	515	Dutch			
1880	w e g a z	*wegaz	w e g ( a z )	wegaz	*wegaz	516	Proto-Germanic			
1881	v eː k	*wegaz	v eː k ( - - )	veːk	Weg	516	German			
1882	ʋ eɪ	*wegaz	ʋ eɪ - ( - - )	ʋeɪ	way	516	English			
1883	ʋ ɛ x	*wegaz	ʋ ɛ x ( - - )	ʋɛx	weg	516	Dutch			
1884	f u l g eː n a n	*fulgēnan	f u l g eː n ( a n )	fulgeːnan	*fulgēnan	517	Proto-Germanic		C V C c v c	
1885	f ɔ l ɡ ə n	*fulgēnan	f ɔ l ɡ ə n ( - - )	fɔlɡən	folgen	517	German			
1886	f ɔ l əʊ	*fulgēnan	f ɔ l əʊ - - ( - - )	fɔləʊ	follow	517	English			
1887	v ɔ l ɣ ə	*fulgēnan	v ɔ l ɣ ə - ( - - )	vɔlɣə	volgen	517	Dutch			
1888	x oː f a z	*xōfaz	x oː f ( a z )	xoːfaz	*xōfaz	518	Proto-Germanic			
1889	h uː f	*xōfaz	h uː f ( - - )	huːf	Huf	518	German			
1890	h uː f	*xōfaz	h uː f ( - - )	huːf	hoof	518	English			
1891	h uː f	*xōfaz	h uː f ( - - )	huːf	hoef	518	Dutch			
1892	s t oː l a z	*stōlaz	s t oː l ( a z )	stoːlaz	*stōlaz	519	Proto-Germanic			
1893	ʃ t uː l	*stōlaz	ʃ t uː l ( - - )	ʃtuːl	Stuhl	519	German			
1894	s t uː l	*stōlaz	s t uː l ( - - )	stuːl	stool	519	English			
1895	s t uː l	*stōlaz	s t uː l ( - - )	stuːl	stoel	519	Dutch			
1896	s ai l oː	*sailō	s ai l ( oː )	sailoː	*sailō	520	Proto-Germanic			
1897	z ai l	*sailō	z ai l ( - )	zail	Seil	520	German			
1898	z eː l	*sailō	z eː l ( - )	zeːl	zeel	520	Dutch			
1899	s t u kː a z	*stukkaz	s t u kː ( a z )	stukkaz	*stukkaz	521	Proto-Germanic			
1900	ʃ t ɔ k	*stukkaz	ʃ t ɔ k ( - - )	ʃtɔk	Stock	521	German			
1901	s t ɔ k	*stukkaz	s t ɔ k ( - - )	stɔk	stock	521	English			
1902	s t ɔ k	*stukkaz	s t ɔ k ( - - )	stɔk	stok	521	Dutch			
1903	s w a n gʷ j a n a n	*swangwjanan	s w a n gʷ ( - j ) a n ( a n )	swangwjanan	*swangwjanan	522	Proto-Germanic			
1904	ʃ v ɛ ŋ k ə n	*swangwjanan	ʃ v ɛ ŋ - ( k - ) ə n ( - - )	ʃvɛŋkən	schwenken	522	German			
1905	z ʋ ɛ ŋ k ə	*swangwjanan	z ʋ ɛ ŋ - ( k - ) ə - ( - - )	zʋɛŋkə	zwenken	522	Dutch			
1906	m i x s t u z	*mixstuz	m i x s t ( u z )	mixstuz	*mixstuz	523	Proto-Germanic		C V C C C	
1907	m ɪ s t	*mixstuz	m ɪ - s t ( - - )	mɪst	Mist	523	German			
1908	m ɛ s t	*mixstuz	m ɛ - s t ( - - )	mɛst	mest	523	Dutch			
1909	s l iː m a n	*slīman	s l iː m ( a n )	sliːman	*slīman	524	Proto-Germanic			
1910	ʃ l ai m	*slīman	ʃ l ai m ( - - )	ʃlaim	Schleim	524	German			
1911	s l aɪ m	*slīman	s l aɪ m ( - - )	slaɪm	slime	524	English			
1912	s l ɛɪ m	*slīman	s l ɛɪ m ( - - )	slɛɪm	slijm	524	Dutch			
1913	m ai n a + ai θ a z	*maina-aiθaz	m ai n ( a ai θ a z )	maina+aiθaz	*maina-aiθaz	525	Proto-Germanic		C V C	
1914	m ai n ai t	*maina-aiθaz	m ai n ( - ai t - - )	mainait	Meineid	525	German			
1915	m ɛɪ n eː t	*maina-aiθaz	m ɛɪ n ( - eː t - - )	mɛɪneːt	meineed	525	Dutch			
1916	b e n u t a z	*benutaz	b e n ( u t a z )	benutaz	*benutaz	526	Proto-Germanic		C V C	
1917	b ɪ n z ə	*benutaz	b ɪ n ( - z ə - )	bɪnzə	Binse	526	German			
1918	b iː s	*benutaz	b iː - ( - s - - )	biːs	bies	526	Dutch			
1919	θ e gʷ a n oː j a n a n	*θegwanōjanan	θ e ( gʷ a ) n ( oː j ) a n ( a n )	θegwanoːjanan	*θegwanōjanan	527	Proto-Germanic			
1920	d iː n ə n	*θegwanōjanan	d iː ( - - ) n ( - - ) ə n ( - - )	diːnən	dienen	527	German			
1921	d iː n ə	*θegwanōjanan	d iː ( - - ) n ( - - ) ə - ( - - )	diːnə	dienen	527	Dutch			
1922	s p a l d a n a n	*spaldanan	s p a l d a n ( a n )	spaldanan	*spaldanan	528	Proto-Germanic			
1923	ʃ p a l t ə n	*spaldanan	ʃ p a l t ə n ( - - )	ʃpaltən	spalten	528	German			
1924	s p ɑu ʋ ə	*spaldanan	s p ɑu ʋ - ə - ( - - )	spɑuʋə	spouwen	528	Dutch			
1925	m a r iː n	*marīn	m a ( r iː ) n	mariːn	*marīn	529	Proto-Germanic		C V C	
1926	m a n	*marīn	m a ( - - ) n	man	Mann	529	German			
1927	m æ n	*marīn	m æ ( - - ) n	mæn	man	529	English			
1928	m ɑ n	*marīn	m ɑ ( - - ) n	mɑn	man	529	Dutch			
1929	w e b a n a n	*webanan	w e b a n ( a n )	webanan	*webanan	530	Proto-Germanic			
1930	v eː b ə n	*webanan	v eː b ə n ( - - )	veːbən	weben	530	German			
1931	ʋ iː v	*webanan	ʋ iː v - - ( - - )	ʋiːv	weave	530	English			
1932	ʋ eː v ə	*webanan	ʋ eː v ə - ( - - )	ʋeːvə	weven	530	Dutch			
#@highlight=TOKENS|ALIGNMENT
#@sampa=IPA|TOKENS
#@pinyin=CHINESE
#@css=menu:show|textfields:hide|database:hide
#@basics=DOCULECT|CONCEPT|IPA|COGID|ALIGNMENT
#@_selected_doculects=Dutch|English|German|Proto-Germanic
